id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
49; Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ; A space based model for user interaction in shared synthetic environments. ;NULL;NULL; pages 4348 ; April ;NULL;NULL;NULL; In Proceedings of Interchi 93 ;NULL;NULL;NULL;NULL
50; Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ; A space based model for user interaction in shared synthetic environments. ;NULL;NULL; pages 43-48 ; April ;NULL;NULL;NULL; In Proceedings of Interchi 93 ;NULL;NULL;NULL;NULL
51; Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ; A space based model for user interaction in shared synthetic environments. ;NULL;NULL; pages 43-48 ; April ;NULL;NULL;NULL; In Proceedings of Interchi 93 ;NULL;NULL;NULL;NULL
52; Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ; A space based model for user interaction in shared synthetic environments. ;NULL;NULL; pages 43-48 ; April ;NULL;NULL;NULL; In Proceedings of Interchi 93 ;NULL;NULL;NULL;NULL
53; Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ; A space based model for user interaction in shared synthetic environments. ;NULL;NULL; pages 43-48 ; April ;NULL;NULL;NULL; In Proceedings of Interchi 93 ;NULL;NULL;NULL;NULL
54; S. Fahlman, ;" ""A planning system for robot construction tasks,"" "; Artificial Intelligence, ; vol 5 ; pp 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
55; S. Fahlman, ;" ""A planning system for robot construction tasks,"" "; Artificial Intelligence, ; vol 5 ; pp 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
56; Scott Elliott Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ; 5(1) ; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
57; Scott Elliott Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ; 5(1) ; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
58; Fahlman, S. E. ; A Planning System for Robot Construction Tasks. ; Artificial Intelligence, ; 5 (1) ; 1-49 ;1974;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
59; Fahlman, S.E. ; A Planning System for Robot Construction Tasks. ; Artificial Intelligence, ; 5(1) ; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
60; S. E. Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ;5; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61; S. E. Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ;5; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62; S.E. Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ;5; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63; S Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ;5; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
64; S. F. Fahlman. ; A planning system for robot construction tasks. ;NULL;NULL; 1-49 ; 1974. ;NULL;NULL;NULL; Artifical Intel-lignece 5:pp. ;NULL;NULL;NULL;NULL
65; S. E. Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ;5; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66; Scott Elliott Fahlman. ; A planning system for robot construction tasks. ; Artificial Intelligence, ; 5(1) ; 1-49 ; 1974. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
67; Fahlman, S. E., ; NETL: A system for representing and using real world knowledge, ;NULL;NULL;NULL; 1979. ; Cambridge: MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
68; S. E. Fahlman. ; NETL: A System for Representing and Using Real World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge MA, ;NULL;NULL;NULL;NULL;NULL;NULL
69; Fahlman, S. E ; NETL: A system for representing and using real world knowledge. ;NULL;NULL;NULL;1979; MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
70; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge. ;NULL;NULL;NULL;1979; MIT Press, ; Cambridge MA. ;NULL;NULL;NULL;NULL;NULL;NULL
71; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge. ;NULL;NULL;NULL;1979; MIT Press, ; Cambridge, MA. ;NULL;NULL;NULL;NULL;NULL;NULL
72; Fahlman, S. E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL;1979; MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
73; Fahlman, S. E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL;1979; The MIT Press, ; Cambridge, MA. ;NULL;NULL;NULL;NULL;NULL;NULL
74; Fahlman, S. E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL;1979; The MIT Press, ; Cambridge, MA. ;NULL;NULL;NULL;NULL;NULL;NULL
75; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge, ;NULL;NULL;NULL; 1979. ; Cambridge: MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
76; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge, ;NULL;NULL;NULL; 1979. ; Cambridge: MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge, ;NULL;NULL;NULL; 1979. ; Cambridge: MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge, Cam-bridge: ;NULL;NULL;NULL; 1979. ; MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
79; Fahlman, S. E. ; NETL: A system for representing and using real world knowledge, ;NULL;NULL;NULL; 1979. ; Cambridge: MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80; Fahlman, S. E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL;1979; MIT Press, ; Cambridge, MA. ;NULL;NULL;NULL;NULL;NULL;NULL
81; Scott E. Fahlman. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
82; S. E. Fahlman. ; NETL : a System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, Mass., ;NULL;NULL;NULL;NULL;NULL;NULL
83; S.E. Fahlman. ; NETL: A system for representing real-world knowledge, ;NULL;NULL;NULL;NULL; MIT Press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
84; Scott E. Fahlman. ; A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
85; Scott E. Fahlman. ; A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
86; Scott E. Fahlman. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
87; S. Fahlman, ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; The MIT Press, ; Cambridge, Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
88; Scott E. Fahlman. ; NETL: A System for Representing Real World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
89; Scott E. Fahlman. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
90; S. Fahlman. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; The MIT Press, ; Cambridge, Mas-sachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
91; Scott E Fahlman. ; NETL, A System For Representing And Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; The MIT Press, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
92; Fahlman, S.E., ;" ""NETL: A System for Representing and Using Real World Knowledge"", ";NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
93; Fahlman, S.E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
94; Fahlman, S.E. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1977. ; MIT Press, ; Cambridge, Ma, ;NULL;NULL;NULL;NULL;NULL;NULL
95; Fahlman, S.E. ; NETL: A System for Representing and Using Real World Knowledge, ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
96; S.E. Fahlman. ; NETL: A system for representing and using real-world knowledge. ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, U.S.A., ;NULL;NULL;NULL;NULL;NULL;NULL
97; Fahlman, S. E. ; NETL: A System for Representing and Using Real World Knowledge, ;NULL;NULL;NULL; 1979. ; MIT Press, ; Cambridge, MA, ;NULL;NULL;NULL;NULL;NULL;NULL
98; S. Fahlman. ; NETL: A System for Representing and Using Real-World Knowledge. ;NULL;NULL;NULL; 1979. ; The MIT Press, ; Cambridge, Massachusetts, ;NULL;NULL;NULL;NULL;NULL;NULL
99; Scott E. Fahlman. ; Netl: A System For Representing And Using Real-World Knowledge. ;NULL;NULL;NULL; 1979.; MIT Press, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
100; Scott E. Fahlman. ; Design sketch for a million-element netl machine. ;NULL;NULL;NULL; August ;NULL;NULL;NULL; In The First Annual Conference on Artificial Intelligence. AAAI ;NULL;NULL;NULL;NULL
101; Fahlman, S. ;" ""Representing Implicit Knowledge."" ";NULL;NULL;NULL;1981; Lawrence Erlbaum Associates. ; Hillsdale, NJ: ;NULL; Parallel Models of Associative Memory. ; In G. Hinton and J. Anderson (Eds.), ;NULL;NULL;NULL
102; Fahlman S, Touretzky D and van Roggen W, ; Cancellation in a Parallel Semantic Network, ;NULL;NULL; 257-263 ;NULL;NULL; Menlo Park: ; International Joint Conferences on AI. ; In Proc IJCAI-81 ;NULL;NULL;NULL;NULL
103; Scott E. Fahlman. ; Extended abstract: ;NULL;2; 283-286 ; 1985. ;NULL;NULL;NULL; Parallel processing in artificial intelligence. Parallel Computing ;NULL;NULL;NULL;NULL
104; Fahlman, S. & Hinton, G. ; Connectionist architectures for artificial intelligence. ; Computer, ;20; 100-109 ;1987;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
105; Scott E Fahlman and Geoffrey E Hinton. ; Connectionist Architectures for Artificial Intelligence. ; Computer, ; 20(1) ;NULL; January ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
106; Fahlman, S. and Hinton, G. ; Connectionist Architectures for Artificial Intelligence. ; Computer, ;20; 100-118 ;1987;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
107; S. E. Fahlman, ;" ""Faster-Learning Variations on Back-Propagation: An Empirical Study,"" ";NULL;NULL; pp 38-51 ; 1989. ; Morgan Kauffman, ; San Mateo, CA: ;NULL; Proc. of the 1988 Connectionist Models Summer School ; D. Touretzky, G. Hinton and T. Sejnowski, eds., ;NULL;NULL;NULL
108; Fahlman, S. ; Faster-learning variations on backpropagation: An empirical study. ;NULL;NULL;NULL;1988; Morgan Kaufmann, ; San Mateo, CA. ;NULL; Proc. of the Connectionist Model Summer School. ; In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.), ;NULL;NULL;NULL
109; Fahlman, S. E. ; Faster-learning variations on back-propagation. ;NULL;NULL;NULL;1988;NULL;NULL;NULL; T. ; In G. E. Hinton, ;NULL;NULL;NULL
110; Fahlman, S. E. ; Faster-learning variations on back-propagation: an empirical study. ;NULL;NULL; pp 38-51 ;1989; Morgan Kaufmann, ; San Mateo, California. ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.), ;NULL;NULL;NULL
111; Fahlman, S. E. ; Faster learning variations on backpropagation: An empirical study. ;NULL;NULL;NULL;1988; Morgan Kauffman ; San Mateo, CA: ;NULL; In Proc. 1988 Connectionist Models Summer School. ;NULL;NULL;NULL;NULL
112; Fahlman, S. E. ; `Fast-learning variations on back-propagation: An empirical study', ;NULL;NULL; 38-51 ;1989; Morgan Kaufmann, ; San Mateo, CA: ;NULL; Proc. 1988 Connectionist Models Summer School ; Touretzky, D., Hinton, G., Sejnowski, T. (eds.), ;NULL;NULL;NULL
113; Fahlman, S. E. ; Fast-Learning Variations on BackPropagation: An Empirical Study. ;NULL;NULL; pp 38-51 ;1988; Morgan Kaufmann. ;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School. ;NULL;NULL;NULL;NULL
114; Fahlman, S. E. ; Fast-learning variations on back-propagation: an empirical study. ;NULL;NULL; 38-51; 1989. ; (Morgan Kaufman, ; Pittsburgh, PA, ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton & T. Sejnowski, eds. ;NULL;NULL;NULL
115; Fahlman, S. E. ; Fast-learning variations on back-propagation: an empirical study. ;NULL;NULL; 38-51; 1989. ; (Morgan Kaufman, ; Pittsburgh, PA, ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton & T. Sejnowski, eds. ;NULL;NULL;NULL
342; Fahlman, S. E. and Lebiere C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL; 524-532 ;1990; Morgan Kaufmann. ; San Mateo: ;NULL; In Advances in Neural Information Processing Systems II (Denver 1989) ; ed. D.S. Touretzky, ;NULL;NULL;NULL
343; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation learning architecture, ;NULL; vol 2 ; pp 524-532 ; 1990. ; Morgan Kauffman, ; San Mateo, CA: ;NULL; Advances in Neural Information Processing ; D.S. Touretzky, (Ed.) ;NULL;NULL;NULL
344; S.E. Fahlman and C. Lebiere, ;" ""The cascade-correlation learning architecture,"" ";NULL;NULL; pp 524-532 ; 1989. ; Morgan Kaufmann, ; San Mateo, CA., ;NULL; in Ad vances in Neural Information Processing Systems II ;  edited by D. Touretzky, ;NULL;NULL;NULL
345; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann, ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D., editor, ;NULL;NULL;NULL
346; Fahlmann, Scott, C. Lebiere. ; The Cascade-Correlation Learning Architypeture. ;NULL;2; pp 524-532 ;NULL; Morgan Kaufmann Publishers: ; Los Altos, CA. ;NULL;NULL;NULL;NULL;NULL;NULL
347; Fahlmann, Scott, C. Lebiere. ; The Cascade-Correlation Learning Architecture. ;NULL;2; pp 524-532 ;NULL; Morgan Kaufmann Publishers: ; Los Altos, CA. ;NULL; in Advances in Neural Information Processing ;NULL;NULL;NULL;NULL
348; S. E. Fahlman and C. Lebiere ; The Cascade-Correlation Learning Architecture, ;NULL;NULL; pp 524-532 ;1990; Kaufmann Publishers, Inc., ; Denver, Colorado, ;NULL; in NIPS 2 ; Editors D. Touretzky, M. ;NULL;NULL;NULL
349; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architec-ture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL;NULL; In [13] ;NULL;NULL;NULL;NULL
350; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architec-ture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL;NULL; In [13] ;NULL;NULL;NULL;NULL
351; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL;NULL; In [9] ;NULL;NULL;NULL;NULL
352; S. E. Fahlman and C. Lebiere ; The cascade-correlation learning architecture. ;NULL;2; pages 524-532 ;1990.; IEEE, Morgan Kaufmann. ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Systems; In D. S. Touretzky, editor, ;NULL;NULL;NULL
353; S. E. Fahlman and C. Lebiere ; The cascade-correlation learning architecture. ;NULL;2; pages 524-532 ;1990. ; IEEE, Morgan Kaufmann. ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Systems; In D. S. Touretzky, editor, ;NULL;NULL;NULL
354;S. E. Fahlman and C. Lebiere ;" ""The cascade correlation learning algorithm,"" ";NULL;2; pp 524-532 ; 1990. ; Morgan-Kauffman, ;NULL;NULL; in Neural Information Systems; D. Touretzky, Ed,;NULL;NULL;NULL
355;S. E. Fahlman and C. Lebiere ;" ""The cascade correlation learning algorithm,"" ";NULL;2; pp 524-532 ; 1990. ; Morgan-Kauffman, ;NULL;NULL; in Neural Information Systems; Ed.,  D. Touretzky, ;NULL;NULL;NULL
356; Fahlman, S.E. and Lebiere, C. ; The cascade-correlation learning architecture, ;NULL; vol 2 ; pp 524-532 ;1990; Morgan Kauffman, ; San Mateo, CA: ;NULL; Advances in Neural Information Processing; D.S. Touretzky, (Ed.) ;NULL;NULL;NULL
357;S. E. Fahlman and C. Lebiere ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1990. ; Morgan Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
358; S. E. Fahlman and C. Lebiere ; The cascade-correlation learning architecture. ;NULL;2;NULL; 1990. ; Morgen Kaufmann, ;NULL;NULL; Advances in Neural Information Processing Systems; In D. S. Touretzky, editor, ;NULL;NULL;NULL
359; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL;NULL; In [16] ;NULL;NULL;NULL;NULL
360; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL; Vol 2 ; 524-532 ; 1990. ; Morgan Kaufmann Publishers, ; San Mateo, CA: ;NULL;  Advance in Neural Information Processing Systems; (Ed) In Touretzky, D. ;NULL;NULL;NULL
361; Fahlman, S. and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2;(pp 524-532) ;1990; Morgan Kaufmann Publishers, ; Los Altos CA. ;NULL; Advances in Neural Information Processing Systems ;  In D.S. Touretzky (Ed.), ;NULL;NULL;NULL
362; S. E. Fahlman and C. Lebiere. ; The cascade-correlation architecture. ;NULL;2; pages 524532 ; 1990. ; Morgan Kauf mann, ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Structures ; In D. S. Touretsky, editor, ;NULL;NULL;NULL
363; S. E. Fahlman and C. Lebiere. ; The cascade-correlation architecture. ;NULL;2; pages 524532 ; 1990. ; Morgan Kauf mann, ; San Mateo, CA, ;NULL; Advances in Neural Information Processing Structures; In D. S. Touretsky, editor, ;NULL;NULL;NULL
364; S. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ;1989 1990.; Morgan Kaufmann, ; Denver ;NULL; Advances in Neural Information Processing Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
365;S. E. Fahlman and C. Lebiere ; The Cascade-Correlation Learning Architecture, ;NULL;2; pp 524-532 ;NULL; Morgan Kaufmann Publishers: ; Los Altos, CA. ;NULL; Advances in Neural Information Processing;NULL;NULL;NULL;NULL
366;S. E. Fahlman and C. Lebiere ; The Cascade-Correlation Learning Architecture, ;NULL;2; pp 524-532 ;NULL; Morgan Kaufmann Publishers: ; Los Altos, CA. ;NULL; Advances in Neural Information Processing ;NULL;NULL;NULL;NULL
367; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL; 38 REFERENCES ; In [22] ;NULL;NULL;NULL;NULL
368;S. E. Fahlman and C. Lebiere ; The cascade correlation learning algorithm. ;NULL;2; pages 524-532 ; 1990. ; Morgan-Kauffman, ;NULL;NULL; Neural Information Systems ; In D. Touretzky, editor, ;NULL;NULL;NULL
369;S. E. Fahlman and C. Lebiere ; The cascade correlation learning algorithm. ;NULL;2; pages 524-532 ; 1990. ; Morgan-Kauffman, ;NULL;NULL; Neural Information Systems; In D. Touretzky, editor, ;NULL;NULL;NULL
